parent_station,stop_lon,stop_id,stop_name,stop_lat,location_type
,38.6954056,node/7041071454,Yeshi Debele,9.0195382,0
,38.6957701,node/7041071455,Yeshi Debele,9.0190748,0
,38.6884518,node/7041071456,Mariam,9.0231539,0
,38.6742682,node/7041071458,Anfo Meda,9.021983,0
,38.7752596,node/7041071459,St. Urael Church,9.0110433,0
,38.766397,node/7041071461,Salcost Apartments (NOC),9.0104908,0
,38.7626376,node/7041071462,St. Estifanos Church,9.0118738,0
,38.7675809,node/7041071464,St. Gebriel,9.0199107,0
,38.7680315,node/7041071465,Zenebewerk Hotel,9.0193852,0
,38.7715231,node/7041071466,Meles Zenawi Foundation,9.0206693,0
,38.770643,node/7041071468,Azmari Bet (Traditional Music Club),9.0194316,0
,38.7702335,node/7041071469,Kazanchis (6th),9.0166401,0
,38.7638714,node/7041071471,Hilton Hotel (Apartments),9.0196382,0
,38.7772342,node/7041071473,Women Square,9.0233468,0
,38.7771738,node/7041071474,Women Square,9.0234508,0
,38.7765755,node/7041071475,Aware Bridge,9.0244322,0
,38.7633615,node/7041071479,Arat Kilo,9.0319312,0
,38.7652099,node/7041071480,Arat Kilo,9.0321438,0
,38.7728461,node/7041071481,Bel Air,9.032458,0
,38.7730493,node/7041071482,Addis View Hotel,9.0324918,0
,38.7730556,node/7041071483,Menelik II Hospital,9.0385857,0
,38.7719268,node/7041071484,Menlik Hospital,9.0388201,0
,38.7522029,node/7041071579,Piassa Arada,9.0365871,0
,38.7524445,node/7041071580,Piassa Arada,9.0363947,0
,38.7523326,node/7041071592,Piassa Arada,9.0354239,0
,38.7491242,node/7041071594,Habtegiorgis Bridge,9.0352553,0
,38.7438917,node/7041071595,Kurtu Building,9.0343899,0
,38.7437548,node/7041071596,Kurtu Building,9.0341887,0
,38.7434135,node/7041071597,Pharmacy,9.0343321,0
,38.737968,node/7041071598,Gojam Berenda,9.0343947,0
,38.7337775,node/7041071599,Autobis Tera (3),9.0342308,0
,38.7298446,node/7041071600,Autobus Tera,9.03371,0
,38.7294433,node/7041071601,Darsema Grosery,9.0338533,0
,38.7200106,node/7041071604,Girum Hospital,9.04636,0
,38.7212396,node/7041071605,Woreda 7 TVET,9.0407262,0
,38.7219216,node/7041071606,Sefere Salam,9.0366318,0
,38.7173824,node/7041071607,Kolfe,9.037044,0
,38.7164487,node/7041071608,Abysinia Coffee,9.0373422,0
,38.7151531,node/7041071609,Degu Hotel,9.0338162,0
,38.7130781,node/7041071610,18 Mazoria,9.0335338,0
,38.7135105,node/7041071612,18 Mazoria,9.0335825,0
,38.7093322,node/7041071614,Luwkanda,9.0333303,0
,38.704541,node/7041071615,Kolfe Secondary School,9.0340139,0
,38.6951186,node/7041071616,Realstate,9.0327975,0
,38.6888917,node/7041071619,Police Tabiya,9.034058,0
,38.6875252,node/7041071620,Feli Doro (1),9.0342811,0
,38.6853297,node/7041071622,Feli Doro,9.0353789,0
,38.7568178,node/7041071628,Ras Mekonene Bridge (Seba Dereja),9.0389362,0
,38.7625491,node/7041071629,5 Kilo (History Museum),9.0385989,0
,38.761951,node/7041071630,5 Kilo University,9.0408311,0
,38.7615693,node/7041071633,Lion Zoo (PEPSI Kiosk),9.0427151,0
,38.7603878,node/7041071636,Yekatit 12 Hospital,9.0438891,0
